label,sentence
contradiction,"sentence 1: He's weird enough to have undressed me without thinking, according to some mad notion of the ``proper'' thing to do. Perhaps he thought I couldn't lie in bed with my clothes on.
sentence 2: she couldn't lie in bed with her clothes on"
entailment,"sentence 1: That is to say, I did not take sufficient account of the fact that at that time of the day, what Mr Farraday enjoys is a conversation of a lighthearted, humorous sort. Knowing this to be his likely mood when I brought in the tea yesterday afternoon, and being aware of his general propensity to talk with me in a bantering tone at such moments, it would certainly have been wiser not to have mentioned Miss Kenton at all. But you will perhaps understand that there was a natural tendency on my part in asking what was after all a generous favour from my employer to hint that there was a good professional motive behind my request.
sentence 2: there was a natural tendency on her part to hint that there was a good professional motive behind her request"
contradiction,"sentence 1: B: I mean, you can't guarantee that they wouldn't escape from prison and do it again. A: Right.  And then do it all over again.  Uh-huh. B: And I don't think that rehabilitation is effective.
sentence 2: rehabilitation is effective"
entailment,"sentence 1: It seemed impossible that anyone could endure such pain for so long, but at last the doors of the Renault slammed and there was comparative silence. The engine was started up, revving violently as the car was turned round on the narrow road. John could tell that it was being driven back up the hill towards Putna.
sentence 2: the car was being driven back up the hill towards Putna"
entailment,"sentence 1: B: I look at our big green containers, and I say, well, they work fine and I keep mine outside the garage so that I don't have any odors but it's clearly a place where, uh, uh, A: Oh, right. B: it will be interesting to see how well that works and I'm glad the community is doing it. Uh, it's one of those things that kind of has to be forced on people. Uh, I don't know what you saw back, uh, years ago, but for me the thing that strikes me is uh, growing up in rural South Dakota where, hey the farmers brought their eggs to town and the local hatchery would candle them and package them is that, uh, in the fifties, uh, you could say we had the recycling going on then that we should have now. Which was all the milk bottles were glass
sentence 2: they had the recycling going on then that they should have now"
entailment,"sentence 1: ``You don't need to worry. We're quite adequately chaperoned. Rosa is a woman of strict moral principles.'' If she knows I'm in here she's probably hovering outside the door right now.
sentence 2: he's in here"
entailment,"sentence 1: But the horror of losing was as much to do with money as with pride. Biddy had never let them down, come without fail all through the bad weather, and now was giving Nails an intensive course on her own horse which - in terms of money - was worth another couple of hundred pounds. Yet surely she knew they had no way of paying should she demand it?
sentence 2: they had no way of paying"
contradiction,"sentence 1: B: And, you know, the whole electronic classroom idea. I don't know if I I'm yeah, in favor of, yeah, A: I don't think that's going to work.
sentence 2: that is going to work"
contradiction,"sentence 1: If there are spirits at work at the time, they come only from yourself, not from the fume of the incense. Why should spirits aid living beings? What arrogance is it that drives people to believe they can have power over them?
sentence 2: people can have power over spirits"
contradiction,"sentence 1: She didn't know if they had given themselves sufficient time to think things over before they married - that was the kind of question her sister Louise asked. Edward stayed in the Engineers for a bit, then came out and was not very successful in finding a job to suit him. That wasn't his fault and if anyone said that it was Nenna would still feel like poking a hole in them.
sentence 2: it was Edward's fault"
neutral,"sentence 1: A: Yeah, they did. They put a lot of pressure on him from the outside and from the inside. Uh, it's funny watching them play, he's probably like a lot of quarterbacks, uh, when the pressure is really on when it's down to the last few minutes of the game for the season is when the guys seem to really do their best. B: Uh-huh. A: And I haven't quite figured that out, if they figure they have got it won or if there's no real hurry because the first three quarters or, uh, uh, if something happens that that adrenalin starts flowing.
sentence 2: they have got it won"
contradiction,"sentence 1: A: or you know, it doesn't seem that it's going to make much of a difference. B: Uh-huh. It, I mean, I don't know, I don't think George Bush will make the American people happy with ninety-seven cents a week.
sentence 2: George Bush will make American people happy with ninety-seven cents a week"
contradiction,"sentence 1: A: I, that would have been stupid, B: Yeah. A: and I don't think we did it. Everything else we handled in this seemed to be perfectly right. I don't think they would have done that.
sentence 2: they would have done that"
contradiction,"sentence 1: B: That might be kind of tough, huh. A: It really would, yes, yes, and like I said, my sister's still in it, and I really don't think my mother'd want to be there, either.
sentence 2: his mother would want to be there"
neutral,"sentence 1: A: Sometimes you hear things on the radio that, you know, could be true or couldn't be. B: Uh-huh. A: Uh, do you feel like this is, I guess they're spending a billion or so a year on this AIDS research. B: Uh-huh. A: Do you think they should spend more?
sentence 2: they should spend more"
contradiction,"sentence 1: The big Norwegian shook his head, frowning. ``Jeg fonstAr ikke.'' I don't think he found Ward's accent at all easy and anyway like many foreigners he found it easier to speak English than to understand it.
sentence 2: the big Norwegian found Ward's accent at all easy"
entailment,"sentence 1: He 'd gone. Philip had to get them back. His Dad would kill him if he found that he 'd taken them.
sentence 2: Philip had taken them"
entailment,"sentence 1: Like now. The Community in Knockglen would defend Eve vociferously. Even some of the Sisters here in Dublin might see that the girl had a point.
sentence 2: the girl had a point"
contradiction,"sentence 1: B: Well, that's kind of the way I feel about rock and roll sometimes, too, I guess. They don't really, has kind of the same sound over and over, and the other thing I don't like about it is they have a tendency to play the instrumental so loud that you can't understand what the lyrics are A: Um. Right. B: you can't understand what they're saying on some of those songs which probably is just as well on some of them, too. A: Yeah. And I can't say that I like a lot of the very modern, uh, rock and roll,
sentence 2: she likes a lot of the very modern rock and roll"
entailment,"sentence 1: A: They might be, but not at the human factors level. they're, B: Well, I heard it on the news today, I could swear it was IBM.
sentence 2: it was IBM"
contradiction,"sentence 1: B: So, let's talk about the, uh, wonderful abuses in the State of Pennsylvania of personal property taxes whereby you can purchase something mail order and after the fact, the State of Pennsylvania can find out about it and send you a bill for the sales tax appropriate to that item that you purchased as well as interest and penalties from the time that you bought it. What do you think? Is Pennsylvania kind of out of line there? A: Well, actually, I do n't think they're out of line.
sentence 2: they're out of line"
contradiction,"sentence 1: A: Yeah, I think that's what aggravates a lot of people, is somebody does get a life sentence in place of the death penalty, and they wind up back on the streets after five years or six years or like the kid on the news tonight out in Mesquite who was out in six months.. B: Uh-huh. Yeah, it's just our criminal system is just so, I guess, overloaded, but the problem is not so much with the prison system, you know, I mean, because the cops are out there doing their job enforcing the laws, and the prison system are just, you know, they're trying to cope with them, but, you know, the thing about capital punishment I, you know, a lot of people don't think it would be a deterrent, uh, to future crime,
sentence 2: capital punishment would be a deterrent to future crimes"
entailment,"sentence 1: ``His name is Matthew Blake,'' Mandy informed Charity as they descended the steps from their cabin on to the paved pathway that led to the lodge. Thankfully she hadn't even noticed that Charity had changed from the blue wrap-around skirt and was now wearing red shorts with her white silk blouse.
sentence 2: Charity had changed from the blue wrap-around skirt"
contradiction,"sentence 1: B: And as far as like them, uh, entertaining the rights that they should have. A: Uh-huh. B: I mean, we educate them, we feed them, we take care of them and they no sooner get out on the street and they're back in again. A: Uh-huh. B: I'm not saying they're all bad,
sentence 2: they're all bad"
entailment,"sentence 1: She longed for a weapon, for even a hairpin, and knowing that she did not have one, she knew too that she was totally defenceless, unarmed and alone. She could feel the great flight of the dragon and sensed that she was high in air and travelling fast towards the sunset. She could feel the great muscles of the dragon's wings send ripplings down the stomach walls and she gave herself over to death.
sentence 2: the great muscles of the dragon's wings sent ripplings down the stomach walls"
entailment,"sentence 1: However, I will let the gynandrous renegade stay here under one condition. If Penumbra questions either of us, we will not lie. If she suspects Crevecoeur is here and asks we let him go back.
sentence 2: Crevecoeur is here"
entailment,"sentence 1: Under the Racketeer Influenced and Corrupt Organizations law, or RICO, the government has the authority to seek to freeze or seize a defendant's assets before trial.  According to individuals familiar with Mr. Antar's case, prosecutors issued their warning this week after one of Mr. Antar's attorneys asked whether legal fees might be subject to seizure. In a letter, prosecutors told Mr. Antar's lawyers that because of the recent Supreme Court rulings, they could expect that any fees collected from Mr. Antar may be seized.
sentence 2: any fees collected from Mr. Antar may be seized"
entailment,"sentence 1: The Deputy Under Secretary could talk of his host's prospects and disappointments, he could learn of the problems of digging out foreign exchange and hard currency in the Third World, the tribulations over the renewal of Residence Permits, the difficulties of keeping reliable servants, but of his own world he must remain silent. The Deputy Under Secretary headed the Secret Intelligence Service of the United Kingdom, and that was not a subject matter for gossip and conversation on a bougainvillaea-fringed veranda as the lights of the fishermen's dug-outs floated inside the coral reef... No bloody way. He was a man who could be honest with himself and in honesty he could say that he was both pleased and relieved to be back at his desk on a grey Monday morning in London.
sentence 2: the Deputy Under Secretary was both pleased and relieved to be back at his desk on a grey Monday morning in London"
contradiction,"sentence 1: A: so it's nice to get away. It's just amazing, how much you miss. B: Yeah, it,  Yeah, it, yeah, it really is. I mean, I don't think I ever see the Little Dipper,
sentence 2: she has seen the Little Dipper"
entailment,"sentence 1: She might have sat all afternoon, nibbling and stuporous, exhausted but not sleepy. But the glazier finally came down from the upper floor, cheerfully announcing that all was now right and tight and he would be on his way. Maggie could tell that he would have liked to stop for a chat that he felt sorry for her left on her own but she lacked either her grandmother's grace or her mother's energy so she did not offer him tea.
sentence 2: the glazier would have liked to stop for a chat"
entailment,"sentence 1: A: I am right outside Baltimore. I am less than a mile from the Baltimore line. B: Um. A: And I go to a campus of the University of Maryland that is just, less than a mile from my house. So I'm actually in Baltimore, yeah, you could say I'm in Baltimore.
sentence 2: he is in Baltimore"
entailment,"sentence 1: Chopra stood unsteadily on his feet. The shapechanger bounded around with excitement. Chopra could tell something had happened.
sentence 2: something had happened"
entailment,"sentence 1: A: Yeah, it's interesting because, uh, we're just having conversation on this, uh, with a couple of people yesterday. And I was expressing my frustrations that, uh, so many problems, I work in a high school, are that kids don't have a degree of self-discipline which may be reflected in society at large. Uh, and you can't expect in a classroom for a particular course an hour a day to counteract, uh, sixteen or seventeen years of influence at home. B: Right. A: Um, and, it's seen more so because when you call parents up, many parents won't even recognize that there is a problem and they'll say, oh, well, my kid, I've never heard anything about this before. This is the first time there have been problems. and, you wonder, don't these parents know that teachers talk,
sentence 2: teachers talk"
contradiction,"sentence 1: B: but I found that, uh, it was made of some material which actually ended up rusting uh, after, A: Oh. B: even, despite, you know, diligent washing, it got rusty after about, uh, three weeks of use. And I don't think it was my fault because you know, I had made a point of like drying it off and cleaning it
sentence 2: it was his fault"
contradiction,"sentence 1: A: but, it was interesting to, I don't know if they're making them better or not, it's hard to say. I think they more of their parts plastic, which, you know, makes things break easier, but I think the technology is better. B: I think technology is better, I'm not sure. I think you've got a good point with the plastic and that. A: About quality. B: I don't think necessarily that, things are being made better uh, you know,
sentence 2: things are being made better"
contradiction,"sentence 1: B: if you get it on sale, A: Yeah, yeah, so we bought that or we bought the filets, and then the chicken, or turkey nuggets, and I don't think anybody in my house knows the difference, unless you tell them.
sentence 2: someone in his house knows the difference"
entailment,"sentence 1: Some of them, like for instance the farm in Connecticut, are quite small. If I like a place I buy it. I guess you could say it's a hobby.
sentence 2: buying places is a hobby"
contradiction,"sentence 1: B: That was kind of a funny movie with, uh, Richard Dreyfuss and Bill Murray. A: Uh-huh. B: That was fun. A: Golly, I don't think that I've ever heard of that movie.
sentence 2: he has heard of that movie"
contradiction,"sentence 1: B: Oh, I see. A: um, and I think I'm getting a better caliber of student at the private school, because I think their parents pay more, and I think the kids are a little bit more challenged, because their parents are probably college educated, where at the public school, I don't think as many parents are college educated,
sentence 2: as many parents are college educated at the public school"
contradiction,"sentence 1: A: How do you feel about gun control? B: Well, uh, I mean I don't think that guns should be outlawed
sentence 2: guns should be outlawed"
entailment,"sentence 1: ``They have to be crushed, Bobkins!'' So saying, she marched off down the gravel path, making the kind of crunching noise Robert had thought could only be produced by the BBC sound-effects department. As they rounded the edge of the building he could see that behind the house was a vast garden.
sentence 2: behind the house was a vast garden"
contradiction,"sentence 1: B: Yeah. Well, that's the guy that counts. A: Yes. But, maybe we'll get your guy. B: Oh, I don't think Jim Kelly is about to be swayed away from the Bills any time.
sentence 2: Jim Kelly is about to be swayed away from the Bills any time"
entailment,"sentence 1: A: I got a friend who goes there, by the way. I want to talk to you about that afterward, okay. B: Okay. Uh, I've, the high school I went to uh, was a good one also. And well, I guess you could say one of the problems with the public education system is the disparity between different schools.
sentence 2: one of the problems with the public education system is the disparity between different schools"
contradiction,"sentence 1: A: Big time there, sure is. B: It surely is. A: I don't think I'd go to work without a bulletproof vest on myself.
sentence 2: he would go to work without a bulletproof vest"
entailment,"sentence 1: I didn't really like the way the other boys treated him. I was new at the school and still observing, still beginning friendships. Perhaps Alec noticed that I did not ridicule him as the others did.
sentence 2: he did not ridicule Alec as the others did"
contradiction,"sentence 1: I should dearly have liked to know whether they were Europeans or Americans, but I couldn't hear the accents. They appeared to be arguing. I hoped the white men weren't telling him to eliminate all witnesses because I don't believe it would have needed much persuasion.
sentence 2: eliminating all witnesses would have needed much persuasion"
contradiction,"sentence 1: ``Oh, my poor Folly... We 've been together for five years, Lexy and I - she practically holds that company together. Of course I gave her an ``A''. But that doesn't mean I'm having an affair with her.
sentence 2: he is having an affair with Lexy"
contradiction,"sentence 1: B: What you want. where do they get it?. A: Well, I don't know, I guess they don't have it at home, B: I can't imagine it would stay fresh long enough to,
sentence 2: it would stay fresh long enough"
entailment,"sentence 1: At length she decided that there was nothing to be gained by worrying her. Probably there was some quite innocent explanation, which Roger Kenyon would give her when she returned the wallet - if, indeed, it were his. And yet why had his manner changed so abruptly when he learned that the girl whose hat he had rescued was going to live at Sunset Cottage?
sentence 2: the girl whose hat Roger Kenyon had rescued was going to live at Sunset Cottage"
contradiction,"sentence 1: B: Uh, with regard uh, to jury trials. I really feel as though, uh, uh, whatever system has been used historically, in particular jurisdiction, you know, is really the only kinds of things that you can use. Because the jurisprudence is, you know, based uh, you know, on accumulated body of law. And if you have a situation where you change that body of law, then all of sudden they could start going back and digging up all these cases uh, that would be handled differently were they judged by today's standards. So I really don't think they can really do much of anything to change it.
sentence 2: they can really do something to change it"
entailment,"sentence 1: This was a sheer waste of time. He would probably land and then tell them to walk back. When she glanced at him again he looked very grim and she wondered if she should have told Mitch that he might well have a lot of opportunity to photograph Spain - on foot as he walked back to Malaga.
sentence 2: Mitch might well have a lot of opportunity to photograph Spain"
entailment,"sentence 1: ``It's not your day, is it, dear?'' ``No, but they 've got to be done, and Shirley's making the tea.'' Ianthe had not told her mother that she sometimes had to dust the books in the library.
sentence 2: Ianthe sometimes had to dust the books in the library"
