sentence,label
"sentence 1: You are not being rude.
sentence 2: You think before you speak.",neutral
"sentence 1: It was the main entry point into Egypt until the advent of air travel in the early 20th century and its contact with a range of international influences made it the most cosmopolitan city in Egypt.
sentence 2: Cairo is now the most popular entry point to Egypt.",neutral
"sentence 1: It's fun and totally tropical, but you'll be very lucky if you have the pools to yourself to enjoy the kind of romantic experience advertised in the tourist brochures.
sentence 2: There are no pools at this tropical location.",contradiction
"sentence 1: Having done so, they finally agree to marry but with  She has privacy, freedom to pursue her own life and friends, control over money, etc.
sentence 2: Despite their eventual agreement to wed, she still had her own privacy, freedom and control.",entailment
"sentence 1: We heard that some of our franchises were doing this sort of thing, and we get angry when we hear about them doing it.
sentence 2: We were furious when we found out that our franchises were doing this.",entailment
"sentence 1: More  Did Kaufman himself consider some of his experiments failures, or had his aesthetic finally become so punk/pro-wrestling that he thought driving people crazy was enough?
sentence 2: Kaufman considered some of his experiments failures.",entailment
"sentence 1: Breath analysis and self-reports as measures of alcohol-related emergency room admission.
sentence 2: Many doctors have been critical of self-reports as a valid measure of alcohol-related emergency room admission.",neutral
"sentence 1: Are there children who need to be entertained?
sentence 2: Children might need entertaining.",neutral
"sentence 1: has everything like that gets uh taxed property uh property tax
sentence 2: Everything of that kind gets charged a property tax.",entailment
"sentence 1: Newsweek notes that while the Dalai Lama promotes religious understanding and meditation, he opposes abortion, contraception, and homosexual acts.
sentence 2: Contraception and abortion are topics that the Dalai Lama promotes.",contradiction
"sentence 1: But Bologna, Parma, Perugia, Rome, and Palermo also have fine regional houses.
sentence 2: Numerous Italian cities have fine regional houses.",entailment
"sentence 1: Applied Fundamentals is a warehouse department, a dumping ground for whatever projects the company can't fit elsewhere.
sentence 2: They wanted to help the other departments.",neutral
"sentence 1: And the Sophisticated Traveler supplement journeys to Tibet, Memphis, and San Diego, among other locales.
sentence 2: Tibet, Memphis, and San Diego are the only possible travel locales.",contradiction
"sentence 1: If the board is not following best practices, it should report why it is not following these practices.
sentence 2: Boards who don't follow best practices shouldn't have to offer an explanation for this.",contradiction
"sentence 1: okay we're rolling i uh what what would you what would has your experience lead you to advise uh if my child were thinking of going to the Air Force Academy what would you say
sentence 2: What is your opinion if my child were thinking of going to the Air Force? I don't like that.",neutral
"sentence 1: In a case such as theirs, then, there was little or no chance that another ship would come within range of their subetherics except for the most improbable of coincidences.
sentence 2: They would not get any help for a while.",neutral
"sentence 1: And we're trying to inculcate a wider acceptance of plans at law schools.
sentence 2: The law schools are reluctant to accept the plans.",neutral
"sentence 1: Generally accepted government auditing standards (GAGAS) incorporate the AICPA field work and reporting standards and related SASs unless the Comptroller General of the United States excludes them by formal announcement.
sentence 2: AICPA standards are incorporated by GAGAS unless the Comptroller General says otherwise.",entailment
"sentence 1: 166 from that moment, I was equally determined that he should not be arrested.""
sentence 2: I determined from that moment that he shouldn't be arrested.",entailment
